,Value,Feature
0,0.0,1
1,0.0,f0 f1
2,0.0,f0 f13
3,0.0,f0 f17
4,0.0,f0 f2
5,0.0,f0 f21
6,0.0,f0 f23
7,0.0,f0 f24
8,0.0,f0 f26
9,0.0,f0 f28
10,0.0,f0 f30
11,0.0,f0 f36
12,0.0,f0 f37
13,0.0,f0 f38
14,0.0,f0 f39
15,0.0,f0 f40
16,0.0,f0 f42
17,0.0,f0 f43
18,0.0,f0 f47
19,0.0,f0 f50
20,0.0,f0 f52
21,0.0,f0 f57
22,0.0,f0 f59
23,0.0,f0 f6
24,0.0,f0 f60
25,0.0,f0 f61
26,0.0,f0 f62
27,0.0,f0 f65
28,0.0,f0 f69
29,0.0,f0 f7
30,0.0,f0 f72
31,0.0,f0 f73
32,0.0,f0 f74
33,0.0,f0 f75
34,0.0,f0 f78
35,0.0,f0 f79
36,0.0,f0 f8
37,0.0,f0 f80
38,0.0,f0 f81
39,0.0,f0 f84
40,0.0,f0 f85
41,0.0,f0 f87
42,0.0,f0 f88
43,0.0,f0 f91
44,0.0,f0 f93
45,0.0,f0 f94
46,0.0,f0 f95
47,0.0,f0 f97
48,0.0,f0 f98
49,0.0,f0 f99
50,0.0,f0^2
51,0.0,f1 f10
52,0.0,f1 f13
53,0.0,f1 f16
54,0.0,f1 f18
55,0.0,f1 f2
56,0.0,f1 f23
57,0.0,f1 f25
58,0.0,f1 f29
59,0.0,f1 f3
60,0.0,f1 f30
61,0.0,f1 f35
62,0.0,f1 f39
63,0.0,f1 f45
64,0.0,f1 f47
65,0.0,f1 f48
66,0.0,f1 f49
67,0.0,f1 f52
68,0.0,f1 f57
69,0.0,f1 f61
70,0.0,f1 f62
71,0.0,f1 f64
72,0.0,f1 f66
73,0.0,f1 f76
74,0.0,f1 f78
75,0.0,f1 f8
76,0.0,f1 f80
77,0.0,f1 f85
78,0.0,f1 f86
79,0.0,f1 f88
80,0.0,f1 f91
81,0.0,f1 f92
82,0.0,f1 f93
83,0.0,f1 f96
84,0.0,f1 f97
85,0.0,f10 f11
86,0.0,f10 f12
87,0.0,f10 f13
88,0.0,f10 f19
89,0.0,f10 f20
90,0.0,f10 f23
91,0.0,f10 f24
92,0.0,f10 f26
93,0.0,f10 f30
94,0.0,f10 f31
95,0.0,f10 f34
96,0.0,f10 f35
97,0.0,f10 f36
98,0.0,f10 f38
99,0.0,f10 f40
100,0.0,f10 f41
101,0.0,f10 f42
102,0.0,f10 f43
103,0.0,f10 f44
104,0.0,f10 f45
105,0.0,f10 f47
106,0.0,f10 f49
107,0.0,f10 f50
108,0.0,f10 f53
109,0.0,f10 f54
110,0.0,f10 f55
111,0.0,f10 f57
112,0.0,f10 f58
113,0.0,f10 f59
114,0.0,f10 f61
115,0.0,f10 f63
116,0.0,f10 f64
117,0.0,f10 f67
118,0.0,f10 f69
119,0.0,f10 f70
120,0.0,f10 f74
121,0.0,f10 f77
122,0.0,f10 f78
123,0.0,f10 f79
124,0.0,f10 f80
125,0.0,f10 f81
126,0.0,f10 f82
127,0.0,f10 f84
128,0.0,f10 f85
129,0.0,f10 f86
130,0.0,f10 f88
131,0.0,f10 f92
132,0.0,f10 f93
133,0.0,f10 f96
134,0.0,f10 f97
135,0.0,f10 f99
136,0.0,f11 f12
137,0.0,f11 f15
138,0.0,f11 f18
139,0.0,f11 f19
140,0.0,f11 f21
141,0.0,f11 f23
142,0.0,f11 f24
143,0.0,f11 f27
144,0.0,f11 f33
145,0.0,f11 f34
146,0.0,f11 f35
147,0.0,f11 f42
148,0.0,f11 f43
149,0.0,f11 f45
150,0.0,f11 f47
151,0.0,f11 f48
152,0.0,f11 f49
153,0.0,f11 f50
154,0.0,f11 f53
155,0.0,f11 f54
156,0.0,f11 f56
157,0.0,f11 f59
158,0.0,f11 f61
159,0.0,f11 f62
160,0.0,f11 f63
161,0.0,f11 f64
162,0.0,f11 f65
163,0.0,f11 f70
164,0.0,f11 f81
165,0.0,f11 f83
166,0.0,f11 f86
167,0.0,f11 f87
168,0.0,f11 f88
169,0.0,f11 f92
170,0.0,f11 f93
171,0.0,f11 f94
172,0.0,f11 f97
173,0.0,f12 f15
174,0.0,f12 f16
175,0.0,f12 f17
176,0.0,f12 f19
177,0.0,f12 f20
178,0.0,f12 f21
179,0.0,f12 f22
180,0.0,f12 f23
181,0.0,f12 f26
182,0.0,f12 f29
183,0.0,f12 f31
184,0.0,f12 f33
185,0.0,f12 f35
186,0.0,f12 f36
187,0.0,f12 f37
188,0.0,f12 f39
189,0.0,f12 f40
190,0.0,f12 f41
191,0.0,f12 f42
192,0.0,f12 f43
193,0.0,f12 f44
194,0.0,f12 f45
195,0.0,f12 f46
196,0.0,f12 f47
