iter	RMSE
0	7.882316151
1	7.866274473
2	7.853732611
3	7.84100951
4	7.831719852
5	7.820865312
6	7.81017331
7	7.796261417
8	7.783548217
9	7.773628075
10	7.760693799
11	7.752965797
12	7.739843569
13	7.731618554
14	7.718542416
15	7.707188297
16	7.696188442
17	7.685145377
18	7.67765756
19	7.66954235
20	7.66145053
21	7.652972281
22	7.640704183
23	7.634079216
24	7.625372606
25	7.617892547
26	7.607940302
27	7.599739673
28	7.590481522
29	7.581502513
30	7.571864455
31	7.560529327
32	7.554939535
33	7.543683186
34	7.534318134
35	7.526063858
36	7.515319505
37	7.504204851
