iter	Logloss
0	0.6560931146
1	0.6268039236
2	0.6036470241
3	0.5852976477
4	0.5708066952
5	0.5593667195
6	0.5507087615
7	0.5434161244
8	0.5376118055
9	0.5332419401
10	0.5297613119
11	0.5267041544
12	0.5242439527
13	0.5222578422
14	0.5206730768
15	0.5193938411
16	0.5183595021
17	0.5175123569
18	0.5168771038
19	0.516273985
20	0.5157776161
21	0.5154050209
22	0.5150768709
23	0.5148201207
24	0.5145412938
25	0.5142952438
26	0.5140641234
27	0.5138904851
28	0.5137210946
29	0.5135383619
30	0.5134087505
31	0.513255616
32	0.5131540963
33	0.5130313503
34	0.5129136442
35	0.512774755
36	0.5126718175
