iter	Passed	Remaining
0	235	83512
1	440	77668
2	634	74489
3	863	75801
4	1077	75402
5	1294	75293
6	1501	74626
7	1709	74166
8	1907	73315
9	2138	73771
10	2356	73692
11	2589	74016
12	2784	73247
13	3002	73136
14	3206	72678
15	3424	72557
16	3662	72828
17	3990	74705
18	4265	75427
19	4513	75602
20	4748	75527
21	4981	75399
22	5221	75366
23	5524	76189
24	5868	77461
25	6116	77397
26	6414	77924
27	6666	77850
28	6889	77446
29	7146	77417
30	7400	77350
31	7632	77043
32	7867	76771
33	8110	76573
34	8375	76574
35	8601	76214
36	8808	75709
